epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,723.901,2.3987,2.21544,0.9158,0.73992,0.68681,0.7261,0.29496,2.12475,5.46063,0.85916,0.000662983,0.000662983,0.000662983
2,1355.81,2.2738,1.39554,0.88979,0.69257,0.65328,0.67577,0.27077,2.24201,2.8821,0.87692,0.00126383,0.00126383,0.00126383
3,1980.79,2.24724,1.2592,0.88878,0.66103,0.59993,0.6262,0.25586,2.2193,11.4654,0.87395,0.00179868,0.00179868,0.00179868
4,2551.45,2.23707,1.21024,0.88003,0.72711,0.65092,0.70418,0.29098,2.14593,19.5389,0.8575,0.001703,0.001703,0.001703
5,3192.07,2.17544,1.16332,0.87184,0.79946,0.73131,0.78448,0.34871,2.0751,1.82978,0.85967,0.001604,0.001604,0.001604
6,3797.99,2.13615,1.08779,0.86241,0.81882,0.77838,0.8288,0.38607,1.95248,2.20321,0.84155,0.001505,0.001505,0.001505
7,4393.86,2.1103,1.09606,0.85985,0.64365,0.61924,0.63799,0.2404,2.30455,3.62404,0.88267,0.001406,0.001406,0.001406
8,5081.07,2.08727,1.09196,0.85934,0.79911,0.74206,0.80296,0.35622,2.01919,2.12062,0.8421,0.001307,0.001307,0.001307
9,5728.17,2.05171,1.01668,0.85048,0.81991,0.71697,0.81184,0.37867,1.95156,1.43746,0.83447,0.001208,0.001208,0.001208
10,6344.96,2.03053,0.99597,0.85561,0.84994,0.79736,0.85434,0.41151,1.88178,1.65722,0.83676,0.001109,0.001109,0.001109
11,6943.18,1.93999,1.01016,0.87426,0.6989,0.66525,0.7121,0.31826,2.04529,2.47628,0.85168,0.00101,0.00101,0.00101
12,7595.42,1.89384,0.9586,0.86902,0.84036,0.78799,0.85224,0.41144,1.87268,1.36944,0.82894,0.000911,0.000911,0.000911
13,8274.09,1.87583,0.94698,0.8717,0.81425,0.75916,0.83282,0.39081,1.94761,1.40298,0.83661,0.000812,0.000812,0.000812
14,8922.5,1.85214,0.92988,0.86216,0.86215,0.83335,0.87883,0.43495,1.81246,1.56068,0.82267,0.000713,0.000713,0.000713
15,9592.31,1.81276,0.90395,0.86205,0.82641,0.82432,0.86282,0.42676,1.78955,1.88449,0.82196,0.000614,0.000614,0.000614
16,10216,1.78617,0.88341,0.85809,0.83624,0.81187,0.86895,0.43968,1.80218,1.27858,0.8223,0.000515,0.000515,0.000515
17,10846.4,1.78227,0.85924,0.85602,0.83705,0.82228,0.87098,0.42568,1.83368,1.33789,0.82038,0.000416,0.000416,0.000416
18,11590.1,1.77666,0.84987,0.85616,0.86519,0.84837,0.90018,0.46927,1.73861,1.09259,0.81468,0.000317,0.000317,0.000317
19,12237.9,1.7544,0.83768,0.8498,0.86965,0.84989,0.9037,0.47435,1.73098,1.00654,0.81246,0.000218,0.000218,0.000218
20,12788.4,1.73984,0.81455,0.84591,0.87537,0.85755,0.90818,0.4824,1.71126,0.95378,0.81247,0.000119,0.000119,0.000119
