epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.111,2.48493,2.29645,0.92451,0.73349,0.63348,0.70278,0.28863,2.08446,4.28508,0.86675,0.000662069,0.000662069,0.000662069
2,791.373,2.3101,1.46672,0.89239,0.56538,0.56264,0.50975,0.16534,2.40001,7.67686,0.88931,0.00124104,0.00124104,0.00124104
3,1309.59,2.30862,1.32106,0.88804,0.74127,0.72837,0.75725,0.31901,2.07332,4.21631,0.85658,0.00173201,0.00173201,0.00173201
4,1786.47,2.21816,1.20947,0.87674,0.7138,0.68549,0.71832,0.2988,2.07323,3.45775,0.8584,0.001604,0.001604,0.001604
5,2267.83,2.17601,1.14109,0.87223,0.82963,0.76254,0.81489,0.38183,1.97441,1.59652,0.84823,0.001472,0.001472,0.001472
6,2877.78,2.03048,1.10799,0.89178,0.74699,0.73419,0.76507,0.32388,2.03801,4.5661,0.85183,0.00134,0.00134,0.00134
7,3340.99,2.04651,1.08359,0.89015,0.67982,0.6568,0.67342,0.25073,2.16651,2.02717,0.85668,0.001208,0.001208,0.001208
8,4161.09,1.98486,1.04987,0.88341,0.83698,0.77133,0.82512,0.39656,1.92523,1.49464,0.84546,0.001076,0.001076,0.001076
9,5578.85,1.97263,1.00696,0.87405,0.82757,0.74675,0.83066,0.38153,1.94984,1.29432,0.83813,0.000944,0.000944,0.000944
10,5948.43,1.90265,0.96704,0.86936,0.84596,0.79271,0.85358,0.41334,1.90137,1.24779,0.8325,0.000812,0.000812,0.000812
11,6323.35,1.92009,0.96462,0.86577,0.83,0.80175,0.85758,0.41354,1.88325,1.64995,0.82865,0.00068,0.00068,0.00068
12,6696.88,1.86857,0.93205,0.86511,0.85733,0.82215,0.87468,0.44158,1.80502,1.43576,0.82544,0.000548,0.000548,0.000548
13,7473.8,1.81755,0.89697,0.85824,0.86488,0.79162,0.8719,0.44537,1.80838,1.08792,0.82502,0.000416,0.000416,0.000416
14,8179.71,1.81364,0.8855,0.85718,0.86541,0.82483,0.88743,0.45274,1.77662,1.03865,0.82123,0.000284,0.000284,0.000284
15,8907.35,1.7911,0.867,0.85093,0.86683,0.84029,0.89277,0.45787,1.77126,1.06381,0.82028,0.000152,0.000152,0.000152
